Type,Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
Tourist Hotels,OZO COLOMBO,"NO 36-38,CLIFFORD PLACE,COLOMBO 04.",158,,Colombo,Colombo,Colombo Divisional Secretariat,NULL,
Tourist Hotels,THOMPUKANDAM VILLAGE RESORT,"NO 72,ADDAPALAM,NINTHAVUR.",10,,Ampara,Ampara,Ninthavur Divisional Secretariat,81.8561523,7.3213613
Tourist Hotels,LIFE AYURVEDA RESORT,"NO:18,RATNAYAKE PLACE,THALPITIYA SOUTH,WADDUWA",19,,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.921694,6.673982
Tourist Hotels,ARALIYA GREEN HILLS HOTEL,"NO:10,GLEN FALL ROAD,NUWRA ELIYA",107,,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.764481,6.967075
Tourist Hotels,WHISPERING PALMS HOTEL,"GALLE ROAD,YALEGAMA,INDURUWA",30,,Galle,Galle,Galle Divisional Secretariat,80.009107,6.384061
Tourist Hotels,MARINA PASSIKUDAH,"NO: 07, COCONUT BOARD ROAD, KALKUDAH, PASSIKUDAH",26,,Batticaloa,Kalkudha,Koralai Pattu Divisional Secretariat,81.56346,7.92469
Tourist Hotels,ANILANA HOTEL AND PROPERTIES LTD,"NO.1508, WARD NO.04, IRAKKANDI, NILAVELI",54,,Trincomalee,Kuchchaveli,Kuchchaveli Divisional Secretariat,81.186779,8.7071
Tourist Hotels,THAULLE RESORT,"NO.35 MAHADEIRA,YODAKANDIYA,TISSAMAHARAMA",28,,Hambantota,Thissamaharama,Hambantota Divisional Secretariat,81.313441,6.263005
Tourist Hotels,DIVYAA LAGOON,"DUTCH BAY,KANDAKULIYA,KALPITIYA",14,,Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,79.736306,8.228088
Tourist Hotels,SUN AQUA,"KALKUDAH,PASSIKUDAH.",36,,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,NULL,
Tourist Hotels,THE COVANRO,"NO.353.AIRPORT ROAD,NAIWALA,VEYANGODA.",39,,Gampaha,Minuwangoda Pradeshiya Sabha,Minuwangoda Divisional Secretariat,80.036423,7.158602
Tourist Hotels,CAPE WELIGAMA,"331, KAPPARATHOTA ROAD, KALUKANDA, WELIGAMA.",40,,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,80.411151,5.959346
Tourist Hotels,CALAMANSI COVE BY JETWING,"62, WIJERAMA ROAD, BRAHAKMANAWATTE, BALAPITIYA",14,,Galle,balapitiya,Balapitiya Divisional Secretariat,80.036088,6.285364
Tourist Hotels,RESIDENCE BY UGA ESCAPES,"NO.20,PARK SYREET,COLOMBO 02",11,,Colombo,Colombo,Colombo Divisional Secretariat,79.858337,6.917358
Tourist Hotels,TAPROBANA RESORT WADDUWA,"NO.354/16, RATHNAYAKE ROAD, THALPITIYA,WADDUWA.",27,,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,79.92146,6.676126
